
time = 0.42 min, beta = 0.460000, L = 40, iterations = 100000, iter_bet_meas = 10, num_measures = 10000

time = 0.28 min, beta = 0.440000, L = 40, iterations = 100000, iter_bet_meas = 10, num_measures = 10000

time = 0.28 min, beta = 0.440000, L = 40, iterations = 100000, iter_bet_meas = 10, num_measures = 10000

time = 0.03 min, beta = 0.010000, L = 40, iterations = 100000, iter_bet_meas = 10, num_measures = 10000

time = 0.34 min, beta = 46.000000, L = 40, iterations = 100000, iter_bet_meas = 10, num_measures = 10000

time = 0.44 min, beta = 0.460000, L = 40, iterations = 100000, iter_bet_meas = 10, num_measures = 10000

time = 0.33 min, beta = 44.000000, L = 40, iterations = 100000, iter_bet_meas = 10, num_measures = 10000

time = 0.41 min, beta = 44.000000, L = 40, iterations = 100000, iter_bet_meas = 10, num_measures = 10000

time = 0.19 min, beta = 44.000000, L = 40, iterations = 100000, iter_bet_meas = 1, num_measures = 10000
