
L = 160, beta = 0.460000, time = 3.115316 min
L = 130, beta = 0.460000, time = 1.155701 min
L = 100, beta = 0.460000, time = 3.950378 min
L = 70, beta = 0.460000, time = 1.916607 min
L = 40, beta = 0.460000, time = 0.623358 min
L = 160, beta = 0.450000, time = 3.133825 min
L = 130, beta = 0.450000, time = 1.193202 min
L = 100, beta = 0.450000, time = 4.105751 min
L = 70, beta = 0.450000, time = 1.911678 min
L = 40, beta = 0.450000, time = 0.628387 min
L = 160, beta = 0.440000, time = 3.120655 min
L = 130, beta = 0.440000, time = 1.159047 min
L = 100, beta = 0.440000, time = 3.943658 min
L = 70, beta = 0.440000, time = 1.905864 min
L = 40, beta = 0.440000, time = 0.621776 min
L = 160, beta = 0.430000, time = 3.131758 min
L = 130, beta = 0.430000, time = 1.174447 min
L = 100, beta = 0.430000, time = 4.043307 min
L = 70, beta = 0.430000, time = 1.932283 min
L = 40, beta = 0.430000, time = 0.634680 min
L = 160, beta = 0.410000, time = 3.177655 min
L = 130, beta = 0.410000, time = 1.194213 min
L = 100, beta = 0.410000, time = 4.042534 min
L = 70, beta = 0.410000, time = 1.958152 min
L = 40, beta = 0.410000, time = 0.640638 min
L = 2, beta = 1.000000, time = 0.003900 min
L = 3, beta = 1.000000, time = 0.007167 min
L = 4, beta = 1.000000, time = 0.011450 min
L = 2, beta = 2.000000, time = 0.003600 min
L = 3, beta = 2.000000, time = 0.006650 min
L = 4, beta = 2.000000, time = 0.009950 min
L = 2, beta = 3.000000, time = 0.003400 min
L = 3, beta = 3.000000, time = 0.006833 min
L = 4, beta = 3.000000, time = 0.009783 min
L = 40, beta = 0.410000, time = 1.267517 min
L = 2, beta = 0.410000, time = 0.010250 min
L = 3, beta = 0.410000, time = 0.015917 min
L = 2, beta = 0.420000, time = 0.009750 min
L = 3, beta = 0.420000, time = 0.014867 min
L = 2, beta = 0.430000, time = 0.010267 min
L = 3, beta = 0.430000, time = 0.019200 min
L = 2, beta = 0.440000, time = 0.012817 min
L = 3, beta = 0.440000, time = 0.017183 min
L = 2, beta = 0.450000, time = 0.012317 min
L = 3, beta = 0.450000, time = 0.020150 min
L = 2, beta = 0.460000, time = 0.011517 min
L = 3, beta = 0.460000, time = 0.017000 min
L = 2, beta = 0.470000, time = 0.012167 min
L = 3, beta = 0.470000, time = 0.018650 min
L = 2, beta = 0.410000, time = 0.003683 min
L = 3, beta = 0.410000, time = 0.008350 min
L = 2, beta = 0.420000, time = 0.004267 min
L = 3, beta = 0.420000, time = 0.007883 min
L = 2, beta = 0.430000, time = 0.004583 min
L = 3, beta = 0.430000, time = 0.007600 min
L = 2, beta = 0.440000, time = 0.003400 min
L = 3, beta = 0.440000, time = 0.006700 min
L = 2, beta = 0.450000, time = 0.003467 min
L = 3, beta = 0.450000, time = 0.006433 min
L = 2, beta = 0.460000, time = 0.003417 min
L = 3, beta = 0.460000, time = 0.006533 min
L = 2, beta = 0.470000, time = 0.003950 min
L = 3, beta = 0.470000, time = 0.007533 min
L = 40, beta = 0.410000, time = 1.282567 min
