
time = 0.29 min, beta = 0.460000, L = 10, iterations = 1000000, iter_bet_meas = 1, num_measures = 10000

time = 0.30 min, beta = 0.460000, L = 10, iterations = 1000000, iter_bet_meas = 1, num_measures = 10000

time = 0.27 min, beta = 0.460000, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 10000

time = 0.02 min, beta = 0.010000, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 10000

time = 0.19 min, beta = 10.000000, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 10000

time = 0.16 min, beta = 0.230000, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 10000

time = 0.03 min, beta = 0.210000, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 10000

time = 0.05 min, beta = 0.210000, L = 10, iterations = 100000, iter_bet_meas = 10, num_measures = 10000

time = 0.15 min, beta = 0.210000, L = 20, iterations = 100000, iter_bet_meas = 10, num_measures = 10000

time = 6.15 min, beta = 0.230000, L = 30, iterations = 100000, iter_bet_meas = 10, num_measures = 10000

time = 0.23 min, beta = 0.230000, L = 10, iterations = 100000, iter_bet_meas = 10, num_measures = 10000

time = 0.23 min, beta = 0.230000, L = 10, iterations = 100000, iter_bet_meas = 10, num_measures = 10000

time = 0.24 min, beta = 0.230000, L = 10, iterations = 100000, iter_bet_meas = 10, num_measures = 10000
