
time = 0.34 min, beta = 0.470000, L = 40, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.34 min, beta = 47.000000, L = 40, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.02 min, beta = 47.000000, L = 10, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.10 min, beta = 47.000000, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 10000

time = 0.11 min, beta = 47.000000, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 10000

time = 0.17 min, beta = 0.470000, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 10000

time = 0.17 min, beta = 0.470000, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 10000
