
time = 0.02 min, beta = 3.000000, L = 4, iterations = 100000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 30.000000, L = 4, iterations = 100000, iter_bet_meas = 1, num_measures = 10000

time = 0.06 min, beta = 30.000000, L = 4, iterations = 1000000, iter_bet_meas = 1, num_measures = 10000

time = 0.07 min, beta = 0.003000, L = 4, iterations = 1000000, iter_bet_meas = 1, num_measures = 10000

time = 0.58 min, beta = 1.000000, L = 4, iterations = 10000000, iter_bet_meas = 1, num_measures = 10000

time = 0.01 min, beta = 1.000000, L = 4, iterations = 100000, iter_bet_meas = 1, num_measures = 10000

time = 0.06 min, beta = 1.000000, L = 4, iterations = 1000000, iter_bet_meas = 1, num_measures = 10000

time = 0.13 min, beta = 1.000000, L = 10, iterations = 1000000, iter_bet_meas = 1, num_measures = 10000

time = 0.66 min, beta = 1.000000, L = 20, iterations = 1000000, iter_bet_meas = 1, num_measures = 10000

time = 0.66 min, beta = 1.000000, L = 20, iterations = 1000000, iter_bet_meas = 1, num_measures = 10000

time = 0.07 min, beta = 1.000000, L = 20, iterations = 1000000, iter_bet_meas = 1, num_measures = 10000

time = 1.98 min, beta = 1.000000, L = 30, iterations = 1000000, iter_bet_meas = 1, num_measures = 10000

time = 0.72 min, beta = 1.000000, L = 30, iterations = 1000000, iter_bet_meas = 1, num_measures = 10000

time = 0.13 min, beta = 1.000000, L = 10, iterations = 1000000, iter_bet_meas = 1, num_measures = 10000

time = 0.14 min, beta = 1.000000, L = 10, iterations = 1000000, iter_bet_meas = 1, num_measures = 10000

time = 2.22 min, beta = 1.000000, L = 10, iterations = 1000000, iter_bet_meas = 1, num_measures = 10000

time = 12.41 min, beta = 10.000000, L = 10, iterations = 1000000, iter_bet_meas = 1, num_measures = 10000

time = 0.20 min, beta = 10.000000, L = 10, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.39 min, beta = 10.000000, L = 10, iterations = 10000, iter_bet_meas = 1, num_measures = 10000

time = 0.47 min, beta = 10.000000, L = 3, iterations = 1000000, iter_bet_meas = 1, num_measures = 10000

time = 0.03 min, beta = 0.010000, L = 3, iterations = 1000000, iter_bet_meas = 1, num_measures = 10000

time = 0.47 min, beta = 10.000000, L = 3, iterations = 1000000, iter_bet_meas = 1, num_measures = 10000

time = 0.09 min, beta = 0.440000, L = 3, iterations = 1000000, iter_bet_meas = 1, num_measures = 10000

time = 0.18 min, beta = 0.440000, L = 10, iterations = 1000000, iter_bet_meas = 1, num_measures = 10000

time = 0.19 min, beta = 0.460000, L = 10, iterations = 1000000, iter_bet_meas = 1, num_measures = 10000

time = 0.19 min, beta = 0.460000, L = 10, iterations = 1000000, iter_bet_meas = 1, num_measures = 10000
