
time = 0.02 min, beta = 0.630000, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.05 min, beta = 0.630000, L = 15, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.08 min, beta = 0.630000, L = 20, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.13 min, beta = 0.630000, L = 25, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.19 min, beta = 0.630000, L = 30, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.02 min, beta = 0.640000, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.05 min, beta = 0.640000, L = 15, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.08 min, beta = 0.640000, L = 20, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.13 min, beta = 0.640000, L = 25, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.18 min, beta = 0.640000, L = 30, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.02 min, beta = 0.650000, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.05 min, beta = 0.650000, L = 15, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.08 min, beta = 0.650000, L = 20, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.13 min, beta = 0.650000, L = 25, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.18 min, beta = 0.650000, L = 30, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.02 min, beta = 0.660000, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.05 min, beta = 0.660000, L = 15, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.09 min, beta = 0.660000, L = 20, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.14 min, beta = 0.660000, L = 25, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.18 min, beta = 0.660000, L = 30, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.02 min, beta = 0.670000, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.05 min, beta = 0.670000, L = 15, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.08 min, beta = 0.670000, L = 20, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.13 min, beta = 0.670000, L = 25, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.18 min, beta = 0.670000, L = 30, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.02 min, beta = 0.680000, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.05 min, beta = 0.680000, L = 15, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.08 min, beta = 0.680000, L = 20, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.13 min, beta = 0.680000, L = 25, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.18 min, beta = 0.680000, L = 30, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.02 min, beta = 0.690000, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.04 min, beta = 0.690000, L = 15, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.08 min, beta = 0.690000, L = 20, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.12 min, beta = 0.690000, L = 25, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.18 min, beta = 0.690000, L = 30, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.02 min, beta = 0.700000, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.05 min, beta = 0.700000, L = 15, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.08 min, beta = 0.700000, L = 20, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.13 min, beta = 0.700000, L = 25, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.18 min, beta = 0.700000, L = 30, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.02 min, beta = 0.710000, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.04 min, beta = 0.710000, L = 15, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.08 min, beta = 0.710000, L = 20, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.13 min, beta = 0.710000, L = 25, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.18 min, beta = 0.710000, L = 30, iterations = 100000, iter_bet_meas = 1, num_measures = 20000
