
time = 0.17 min, beta = 0.660000, L = 30, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.02 min, beta = 0.670000, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.04 min, beta = 0.670000, L = 15, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.08 min, beta = 0.670000, L = 20, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.12 min, beta = 0.670000, L = 25, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.17 min, beta = 0.670000, L = 30, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.02 min, beta = 0.400000, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.02 min, beta = 0.400000, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.05 min, beta = 0.400000, L = 15, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.08 min, beta = 0.400000, L = 20, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.13 min, beta = 0.400000, L = 25, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.18 min, beta = 0.400000, L = 30, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.02 min, beta = 0.410000, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.05 min, beta = 0.410000, L = 15, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.08 min, beta = 0.410000, L = 20, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.13 min, beta = 0.410000, L = 25, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.18 min, beta = 0.410000, L = 30, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.02 min, beta = 0.420000, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.04 min, beta = 0.420000, L = 15, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.08 min, beta = 0.420000, L = 20, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.13 min, beta = 0.420000, L = 25, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.18 min, beta = 0.420000, L = 30, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.02 min, beta = 0.430000, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.05 min, beta = 0.430000, L = 15, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.08 min, beta = 0.430000, L = 20, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.13 min, beta = 0.430000, L = 25, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.18 min, beta = 0.430000, L = 30, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.02 min, beta = 0.440000, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.04 min, beta = 0.440000, L = 15, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.08 min, beta = 0.440000, L = 20, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.13 min, beta = 0.440000, L = 25, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.18 min, beta = 0.440000, L = 30, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.02 min, beta = 0.450000, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.04 min, beta = 0.450000, L = 15, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.08 min, beta = 0.450000, L = 20, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.13 min, beta = 0.450000, L = 25, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.18 min, beta = 0.450000, L = 30, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.02 min, beta = 0.460000, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.05 min, beta = 0.460000, L = 15, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.08 min, beta = 0.460000, L = 20, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.12 min, beta = 0.460000, L = 25, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.18 min, beta = 0.460000, L = 30, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.02 min, beta = 0.470000, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.04 min, beta = 0.470000, L = 15, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.08 min, beta = 0.470000, L = 20, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.12 min, beta = 0.470000, L = 25, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.18 min, beta = 0.470000, L = 30, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.02 min, beta = 0.480000, L = 10, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.04 min, beta = 0.480000, L = 15, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.08 min, beta = 0.480000, L = 20, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.12 min, beta = 0.480000, L = 25, iterations = 100000, iter_bet_meas = 1, num_measures = 20000

time = 0.18 min, beta = 0.480000, L = 30, iterations = 100000, iter_bet_meas = 1, num_measures = 20000
