
time = 0.03 min, beta = 0.575146, L = 12, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.05 min, beta = 0.658479, L = 12, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.06 min, beta = 0.741812, L = 12, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.06 min, beta = 0.629067, L = 17, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.06 min, beta = 0.700146, L = 12, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.04 min, beta = 0.599655, L = 17, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.07 min, beta = 0.613024, L = 22, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.08 min, beta = 0.658479, L = 17, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.09 min, beta = 0.687891, L = 17, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.02 min, beta = 0.616812, L = 12, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.09 min, beta = 0.717302, L = 17, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.10 min, beta = 0.658479, L = 22, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.05 min, beta = 0.635752, L = 22, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.11 min, beta = 0.681206, L = 22, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.12 min, beta = 0.703933, L = 22, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.02 min, beta = 0.575146, L = 12, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.04 min, beta = 0.658479, L = 12, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.05 min, beta = 0.700146, L = 12, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.05 min, beta = 0.629067, L = 17, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.05 min, beta = 0.741812, L = 12, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.03 min, beta = 0.599655, L = 17, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.06 min, beta = 0.613024, L = 22, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.06 min, beta = 0.658479, L = 17, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.02 min, beta = 0.616812, L = 12, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.08 min, beta = 0.687891, L = 17, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.09 min, beta = 0.717302, L = 17, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.04 min, beta = 0.635752, L = 22, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.09 min, beta = 0.658479, L = 22, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.10 min, beta = 0.681206, L = 22, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.11 min, beta = 0.703933, L = 22, iterations = 10000, iter_bet_meas = 1, num_measures = 100000
