
time = 0.32 min, beta = 0.450000, L = 16, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.36 min, beta = 0.475000, L = 16, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.37 min, beta = 0.500000, L = 16, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.75 min, beta = 0.400000, L = 24, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.30 min, beta = 20.000000, L = 16, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.31 min, beta = 15.000000, L = 16, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.38 min, beta = 17.500000, L = 16, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.79 min, beta = 10.000000, L = 24, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.59 min, beta = 20.000000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.62 min, beta = 15.000000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.65 min, beta = 17.500000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.35 min, beta = 12.500000, L = 16, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.54 min, beta = 12.500000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.85 min, beta = 15.000000, L = 24, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.94 min, beta = 20.000000, L = 24, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.92 min, beta = 17.500000, L = 24, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.40 min, beta = 10.000000, L = 16, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.65 min, beta = 12.500000, L = 24, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.38 min, beta = 10.000000, L = 20, iterations = 10000, iter_bet_meas = 1, num_measures = 100000
