
time = 0.02 min, beta = 0.357353, L = 12, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.04 min, beta = 0.381863, L = 17, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.06 min, beta = 0.482353, L = 12, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.06 min, beta = 0.440687, L = 12, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.06 min, beta = 0.395232, L = 22, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.07 min, beta = 0.411275, L = 17, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.08 min, beta = 0.524020, L = 12, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.02 min, beta = 0.399020, L = 12, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.09 min, beta = 0.440687, L = 17, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.10 min, beta = 0.470099, L = 17, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.11 min, beta = 0.440687, L = 22, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.11 min, beta = 0.499510, L = 17, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.04 min, beta = 0.417960, L = 22, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.13 min, beta = 0.463414, L = 22, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.14 min, beta = 0.486141, L = 22, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.02 min, beta = 0.374020, L = 12, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.02 min, beta = 0.390687, L = 12, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.03 min, beta = 0.407353, L = 12, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.03 min, beta = 0.399020, L = 12, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.04 min, beta = 0.399510, L = 17, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.04 min, beta = 0.405393, L = 17, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.03 min, beta = 0.393628, L = 17, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.05 min, beta = 0.411275, L = 17, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.05 min, beta = 0.404323, L = 22, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.05 min, beta = 0.417157, L = 17, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.06 min, beta = 0.413414, L = 22, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.06 min, beta = 0.417960, L = 22, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.01 min, beta = 0.382353, L = 12, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.06 min, beta = 0.422505, L = 22, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.03 min, beta = 0.408869, L = 22, iterations = 10000, iter_bet_meas = 1, num_measures = 100000
