
time = 0.06 min, beta = 0.277500, L = 12, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.07 min, beta = 0.270000, L = 12, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.07 min, beta = 0.275000, L = 12, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.08 min, beta = 0.280000, L = 12, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.11 min, beta = 0.277500, L = 17, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.11 min, beta = 0.272500, L = 17, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.11 min, beta = 0.275000, L = 17, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.12 min, beta = 0.280000, L = 17, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.12 min, beta = 0.270000, L = 22, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.06 min, beta = 0.277500, L = 12, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.07 min, beta = 0.270000, L = 12, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.07 min, beta = 0.275000, L = 12, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.08 min, beta = 0.280000, L = 12, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.10 min, beta = 0.272500, L = 17, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.12 min, beta = 0.275000, L = 17, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.12 min, beta = 0.277500, L = 17, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.12 min, beta = 0.280000, L = 17, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.13 min, beta = 0.270000, L = 22, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.07 min, beta = 0.270000, L = 17, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

time = 0.14 min, beta = 0.275000, L = 22, iterations = 10000, iter_bet_meas = 1, num_measures = 100000

